industry,senator
Real Estate Investment Trusts,Sheldon Whitehouse
Real Estate Investment Trusts,Sheldon Whitehouse
Trucking Freight/Courier Services,Shelley Moore Capito
Restaurants,Shelley Moore Capito
Power Generation,Shelley Moore Capito
"Computer Software: Programming, Data Processing",John W. Hickenlooper
Recreational Products/Toys,John W. Hickenlooper
Services-Misc. Amusement & Recreation,John W. Hickenlooper
Television Services,John W. Hickenlooper
Computer Software: Prepackaged Software,John W. Hickenlooper
Catalog/Specialty Distribution,John W. Hickenlooper
Business Services,John W. Hickenlooper
"Computer Software: Programming, Data Processing",John W. Hickenlooper
Interactive Media,John W. Hickenlooper
Consumer Electronics/Video Chains,John W. Hickenlooper
Restaurants,John W. Hickenlooper
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Precious Metals,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Steel/Iron Ore,Tommy Tuberville
Precious Metals,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Containers/Packaging,Tommy Tuberville
Medical/Dental Instruments,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Food Chains,Tommy Tuberville
Packaged Foods,Tommy Tuberville
Movies/Entertainment,Tommy Tuberville
Computer Manufacturing,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Semiconductors,Tommy Tuberville
Investment Bankers/Brokers/Service,Tommy Tuberville
Investment Managers,Tommy Tuberville
Telecommunications Equipment,Tommy Tuberville
Medical/Dental Instruments,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Auto Manufacturing,Tommy Tuberville
Homebuilding,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Other Consumer Services,Tommy Tuberville
Restaurants,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Oil & Gas Production,Tommy Tuberville
Other Specialty Stores,Tommy Tuberville
Homebuilding,Tommy Tuberville
Electric Utilities: Central,Tommy Tuberville
Railroads,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Semiconductors,Tommy Tuberville
Finance: Consumer Services,Tommy Tuberville
Semiconductors,Tommy Tuberville
Semiconductors,Tommy Tuberville
Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
Specialty Insurers,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Major Banks,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Biotechnology: In Vitro & In Vivo Diagnostic Substances,Tommy Tuberville
Precious Metals,Tommy Tuberville
EDP Services,Tommy Tuberville
Internet and Information Services,Tommy Tuberville
Business Services,Tommy Tuberville
Industrial Specialties,Tommy Tuberville
Semiconductors,Tommy Tuberville
Shoe Manufacturing,Tommy Tuberville
Computer Communications Equipment,Tommy Tuberville
Real Estate Investment Trusts,Tommy Tuberville
Diversified Commercial Services,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Major Pharmaceuticals,Tommy Tuberville
Auto Parts:O.E.M.,Tommy Tuberville
Industrial Machinery/Components,Tommy Tuberville
Semiconductors,Tommy Tuberville
Major Banks,Tommy Tuberville
Semiconductors,Tommy Tuberville
Semiconductors,Tommy Tuberville
Computer Software: Prepackaged Software,Tommy Tuberville
Electrical Products,Tommy Tuberville
Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
Major Pharmaceuticals,Thomas R. Carper
Industrial Machinery/Components,Thomas R. Carper
Biotechnology: Laboratory Analytical Instruments,Thomas R. Carper
Major Chemicals,Thomas R. Carper
Trucking Freight/Courier Services,Thomas R. Carper
Semiconductors,Thomas R. Carper
Semiconductors,Thomas R. Carper
Semiconductors,Thomas R. Carper
